,city,district,loc_id
0,jakarta barat,cengkareng,loc-401
1,jakarta barat,grogol petamburan,loc-402
2,jakarta barat,kalideres,loc-403
3,jakarta barat,kebon jeruk,loc-404
4,jakarta barat,kembangan,loc-405
5,jakarta barat,palmerah,loc-406
6,jakarta barat,taman sari,loc-407
7,jakarta barat,tambora,loc-408
8,jakarta pusat,cempaka putih,loc-301
9,jakarta pusat,gambir,loc-302
10,jakarta pusat,johar baru,loc-303
11,jakarta pusat,kemayoran,loc-304
12,jakarta pusat,menteng,loc-305
13,jakarta pusat,sawah besar,loc-306
14,jakarta pusat,senen,loc-307
15,jakarta pusat,tanah abang,loc-308
16,jakarta selatan,cilandak,loc-101
17,jakarta selatan,jagakarsa,loc-102
18,jakarta selatan,kebayoran baru,loc-103
19,jakarta selatan,kebayoran lama,loc-104
20,jakarta selatan,mampang prapatan,loc-105
21,jakarta selatan,pancoran,loc-106
22,jakarta selatan,pasar minggu,loc-107
23,jakarta selatan,pesanggrahan,loc-108
24,jakarta selatan,setiabudi,loc-109
25,jakarta selatan,tebet,loc-110
26,jakarta timur,cakung,loc-201
27,jakarta timur,cipayung,loc-202
28,jakarta timur,ciracas,loc-203
29,jakarta timur,duren sawit,loc-204
30,jakarta timur,jatinegara,loc-205
31,jakarta timur,kramat jati,loc-206
32,jakarta timur,makasar,loc-207
33,jakarta timur,matraman,loc-208
34,jakarta timur,pasar rebo,loc-209
35,jakarta timur,pulo gadung,loc-210
36,jakarta utara,cilincing,loc-501
37,jakarta utara,kelapa gading,loc-502
38,jakarta utara,koja,loc-503
39,jakarta utara,pademangan,loc-504
40,jakarta utara,penjaringan,loc-505
41,jakarta utara,tanjung priok,loc-506